,Mouse ID,Drug Regimen,Sex,Age_months,Weight (g),Timepoint,Tumor Volume (mm3),Metastatic Sites,ID
58,s508,Ramicane,Male,1,17,40,32.79817119,0,s508Ramicane
59,s508,Ramicane,Male,1,17,45,30.27623175,0,s508Ramicane
60,f966,Capomulin,Male,16,17,0,45.0,0,f966Capomulin
61,f966,Capomulin,Male,16,17,5,38.79647373,0,f966Capomulin
62,f966,Capomulin,Male,16,17,10,35.6244027,0,f966Capomulin
63,f966,Capomulin,Male,16,17,15,32.62300253,0,f966Capomulin
64,f966,Capomulin,Male,16,17,20,30.48598484,0,f966Capomulin
65,m546,Ramicane,Male,18,16,0,45.0,0,m546Ramicane
66,m546,Ramicane,Male,18,16,5,42.99887638,0,m546Ramicane
67,m546,Ramicane,Male,18,16,10,43.74822357,0,m546Ramicane
68,m546,Ramicane,Male,18,16,15,39.89743533,0,m546Ramicane
69,m546,Ramicane,Male,18,16,20,36.71229535,0,m546Ramicane
70,m546,Ramicane,Male,18,16,25,37.44444543,0,m546Ramicane
71,m546,Ramicane,Male,18,16,30,37.96993365,0,m546Ramicane
72,m546,Ramicane,Male,18,16,35,38.62753581,1,m546Ramicane
73,m546,Ramicane,Male,18,16,40,35.114575200000004,1,m546Ramicane
74,m546,Ramicane,Male,18,16,45,30.56462509,1,m546Ramicane
75,z578,Ramicane,Male,11,16,0,45.0,0,z578Ramicane
76,z578,Ramicane,Male,11,16,5,42.18878662,0,z578Ramicane
77,z578,Ramicane,Male,11,16,10,42.95211843,0,z578Ramicane
78,z578,Ramicane,Male,11,16,15,38.68851607,0,z578Ramicane
79,z578,Ramicane,Male,11,16,20,36.89001635,0,z578Ramicane
80,z578,Ramicane,Male,11,16,25,37.41411419,0,z578Ramicane
81,z578,Ramicane,Male,11,16,30,37.81593487,0,z578Ramicane
82,z578,Ramicane,Male,11,16,35,38.50482444,0,z578Ramicane
83,z578,Ramicane,Male,11,16,40,34.02209336,0,z578Ramicane
84,z578,Ramicane,Male,11,16,45,30.63869575,0,z578Ramicane
85,j913,Ramicane,Female,4,17,0,45.0,0,j913Ramicane
86,j913,Ramicane,Female,4,17,5,44.01490022,0,j913Ramicane
87,j913,Ramicane,Female,4,17,10,44.49716216,0,j913Ramicane
88,j913,Ramicane,Female,4,17,15,45.25253427,0,j913Ramicane
89,j913,Ramicane,Female,4,17,20,42.16834132,0,j913Ramicane
90,j913,Ramicane,Female,4,17,25,37.86066936,0,j913Ramicane
91,j913,Ramicane,Female,4,17,30,34.75724046,0,j913Ramicane
92,j913,Ramicane,Female,4,17,35,35.17014843,0,j913Ramicane
93,j913,Ramicane,Female,4,17,40,31.00186078,1,j913Ramicane
94,j913,Ramicane,Female,4,17,45,31.56046955,1,j913Ramicane
95,u364,Capomulin,Male,18,17,0,45.0,0,u364Capomulin
96,u364,Capomulin,Male,18,17,5,45.76088647,1,u364Capomulin
97,u364,Capomulin,Male,18,17,10,46.56841719,2,u364Capomulin
98,u364,Capomulin,Male,18,17,15,47.21219992,2,u364Capomulin
99,u364,Capomulin,Male,18,17,20,40.34394812,2,u364Capomulin
100,u364,Capomulin,Male,18,17,25,35.50361557,2,u364Capomulin
101,u364,Capomulin,Male,18,17,30,35.9783344,2,u364Capomulin
102,u364,Capomulin,Male,18,17,35,35.45948978,2,u364Capomulin
103,u364,Capomulin,Male,18,17,40,36.02413752,2,u364Capomulin
104,u364,Capomulin,Male,18,17,45,31.02392294,3,u364Capomulin
105,n364,Ramicane,Male,4,17,0,45.0,0,n364Ramicane
106,n364,Ramicane,Male,4,17,5,45.52187471,0,n364Ramicane
107,n364,Ramicane,Male,4,17,10,40.3751382,0,n364Ramicane
108,n364,Ramicane,Male,4,17,15,36.94027399,0,n364Ramicane
109,n364,Ramicane,Male,4,17,20,37.4788685,0,n364Ramicane
110,n364,Ramicane,Male,4,17,25,33.20500824,0,n364Ramicane
111,n364,Ramicane,Male,4,17,30,33.817758000000005,0,n364Ramicane
112,n364,Ramicane,Male,4,17,35,34.48752204,1,n364Ramicane
113,n364,Ramicane,Male,4,17,40,34.95473311,1,n364Ramicane
114,n364,Ramicane,Male,4,17,45,31.09533505,1,n364Ramicane
115,y793,Capomulin,Male,17,17,0,45.0,0,y793Capomulin
116,y793,Capomulin,Male,17,17,5,41.01991315,0,y793Capomulin
117,y793,Capomulin,Male,17,17,10,41.63001026,1,y793Capomulin
118,y793,Capomulin,Male,17,17,15,42.28366512,1,y793Capomulin
119,y793,Capomulin,Male,17,17,20,40.71642815,2,y793Capomulin
120,y793,Capomulin,Male,17,17,25,38.9927339,2,y793Capomulin
121,y793,Capomulin,Male,17,17,30,35.72602314,2,y793Capomulin
122,y793,Capomulin,Male,17,17,35,36.3278696,2,y793Capomulin
123,y793,Capomulin,Male,17,17,40,31.47541076,2,y793Capomulin
124,y793,Capomulin,Male,17,17,45,31.896238399999998,2,y793Capomulin
125,r554,Capomulin,Female,8,17,0,45.0,0,r554Capomulin
126,r554,Capomulin,Female,8,17,5,45.78174579,1,r554Capomulin
127,r554,Capomulin,Female,8,17,10,39.0054935,2,r554Capomulin
128,r554,Capomulin,Female,8,17,15,35.46375763,2,r554Capomulin
129,r554,Capomulin,Female,8,17,20,36.01558858,2,r554Capomulin
130,r554,Capomulin,Female,8,17,25,33.89334515,3,r554Capomulin
131,r554,Capomulin,Female,8,17,30,32.68065459,3,r554Capomulin
132,r554,Capomulin,Female,8,17,35,33.06933705,3,r554Capomulin
133,r554,Capomulin,Female,8,17,40,31.80484133,3,r554Capomulin
134,r554,Capomulin,Female,8,17,45,32.37735684,3,r554Capomulin
135,m957,Capomulin,Female,3,19,0,45.0,0,m957Capomulin
136,m957,Capomulin,Female,3,19,5,45.62238149,1,m957Capomulin
137,m957,Capomulin,Female,3,19,10,46.414517700000005,1,m957Capomulin
138,m957,Capomulin,Female,3,19,15,39.80445341,1,m957Capomulin
139,m957,Capomulin,Female,3,19,20,38.90934919,1,m957Capomulin
140,m957,Capomulin,Female,3,19,25,37.69543154,1,m957Capomulin
141,m957,Capomulin,Female,3,19,30,38.21247939,1,m957Capomulin
142,m957,Capomulin,Female,3,19,35,32.56283914,1,m957Capomulin
143,m957,Capomulin,Female,3,19,40,32.94761484,1,m957Capomulin
144,m957,Capomulin,Female,3,19,45,33.32909778,1,m957Capomulin
145,c758,Ramicane,Male,9,17,0,45.0,0,c758Ramicane
146,c758,Ramicane,Male,9,17,5,45.5786783,0,c758Ramicane
147,c758,Ramicane,Male,9,17,10,46.28799223,0,c758Ramicane
148,c758,Ramicane,Male,9,17,15,46.94094512,1,c758Ramicane
149,c758,Ramicane,Male,9,17,20,43.1263114,1,c758Ramicane
150,c758,Ramicane,Male,9,17,25,43.602267299999994,1,c758Ramicane
151,c758,Ramicane,Male,9,17,30,44.11827028,1,c758Ramicane
152,c758,Ramicane,Male,9,17,35,37.80238546,1,c758Ramicane
153,c758,Ramicane,Male,9,17,40,32.83318858,1,c758Ramicane
154,c758,Ramicane,Male,9,17,45,33.39765251,1,c758Ramicane
155,t565,Capomulin,Female,20,17,0,45.0,0,t565Capomulin
156,t565,Capomulin,Female,20,17,5,45.8956472,0,t565Capomulin
157,t565,Capomulin,Female,20,17,10,46.74900552,0,t565Capomulin
158,t565,Capomulin,Female,20,17,15,44.44094861,0,t565Capomulin
159,t565,Capomulin,Female,20,17,20,39.0702138,0,t565Capomulin
160,t565,Capomulin,Female,20,17,25,37.34220976,0,t565Capomulin
161,t565,Capomulin,Female,20,17,30,32.86891617,0,t565Capomulin
162,t565,Capomulin,Female,20,17,35,33.51567063,0,t565Capomulin
163,t565,Capomulin,Female,20,17,40,33.94934131,0,t565Capomulin
164,t565,Capomulin,Female,20,17,45,34.45529799,0,t565Capomulin
165,a644,Ramicane,Female,7,17,0,45.0,0,a644Ramicane
166,a644,Ramicane,Female,7,17,5,45.55015754,0,a644Ramicane
167,a644,Ramicane,Female,7,17,10,46.38071258,0,a644Ramicane
168,a644,Ramicane,Female,7,17,15,46.91089166,0,a644Ramicane
169,a644,Ramicane,Female,7,17,20,45.86506461,0,a644Ramicane
170,a644,Ramicane,Female,7,17,25,41.48122408,0,a644Ramicane
171,a644,Ramicane,Female,7,17,30,37.21112063,0,a644Ramicane
172,a644,Ramicane,Female,7,17,35,35.12863083,0,a644Ramicane
173,a644,Ramicane,Female,7,17,40,35.77945086,0,a644Ramicane
174,a644,Ramicane,Female,7,17,45,32.97852192,1,a644Ramicane
175,i177,Ramicane,Male,10,18,0,45.0,0,i177Ramicane
176,i177,Ramicane,Male,10,18,5,44.06539783,0,i177Ramicane
177,i177,Ramicane,Male,10,18,10,41.02092924,0,i177Ramicane
178,i177,Ramicane,Male,10,18,15,40.33093479,0,i177Ramicane
179,i177,Ramicane,Male,10,18,20,35.34536136,0,i177Ramicane
180,i177,Ramicane,Male,10,18,25,34.0821803,1,i177Ramicane
181,i177,Ramicane,Male,10,18,30,34.71147302,1,i177Ramicane
182,i177,Ramicane,Male,10,18,35,35.1521662,1,i177Ramicane
183,i177,Ramicane,Male,10,18,40,35.55793279,2,i177Ramicane
184,i177,Ramicane,Male,10,18,45,33.56240217,3,i177Ramicane
185,j989,Ramicane,Male,8,19,0,45.0,0,j989Ramicane
186,j989,Ramicane,Male,8,19,5,45.62071835,1,j989Ramicane
187,j989,Ramicane,Male,8,19,10,46.34383237,1,j989Ramicane
188,j989,Ramicane,Male,8,19,15,41.12835439,1,j989Ramicane
189,j989,Ramicane,Male,8,19,20,41.63534426,1,j989Ramicane
190,j989,Ramicane,Male,8,19,25,39.93411249,1,j989Ramicane
191,j989,Ramicane,Male,8,19,30,34.67178107,1,j989Ramicane
192,j989,Ramicane,Male,8,19,35,35.1155898,1,j989Ramicane
193,j989,Ramicane,Male,8,19,40,35.50119014,1,j989Ramicane
194,j989,Ramicane,Male,8,19,45,36.13485243,1,j989Ramicane
195,i738,Capomulin,Female,23,20,0,45.0,0,i738Capomulin
196,i738,Capomulin,Female,23,20,5,45.59568527,0,i738Capomulin
197,i738,Capomulin,Female,23,20,10,43.42101414,0,i738Capomulin
198,i738,Capomulin,Female,23,20,15,37.97877782,0,i738Capomulin
199,i738,Capomulin,Female,23,20,20,38.53113634,0,i738Capomulin
200,i738,Capomulin,Female,23,20,25,34.97343761,0,i738Capomulin
201,i738,Capomulin,Female,23,20,30,35.57877987,1,i738Capomulin
202,i738,Capomulin,Female,23,20,35,36.17595269,1,i738Capomulin
203,i738,Capomulin,Female,23,20,40,36.84389799,2,i738Capomulin
204,i738,Capomulin,Female,23,20,45,37.31184577,2,i738Capomulin
205,a520,Ramicane,Male,13,21,0,45.0,0,a520Ramicane
206,a520,Ramicane,Male,13,21,5,38.72370695,0,a520Ramicane
207,a520,Ramicane,Male,13,21,10,36.42938781,0,a520Ramicane
208,a520,Ramicane,Male,13,21,15,35.590253999999995,0,a520Ramicane
209,a520,Ramicane,Male,13,21,20,35.94774514,0,a520Ramicane
210,a520,Ramicane,Male,13,21,25,36.55858129,1,a520Ramicane
211,a520,Ramicane,Male,13,21,30,36.94770981,1,a520Ramicane
212,a520,Ramicane,Male,13,21,35,37.62471026,1,a520Ramicane
213,a520,Ramicane,Male,13,21,40,38.25972497,1,a520Ramicane
214,a520,Ramicane,Male,13,21,45,38.81036633,1,a520Ramicane
215,w914,Capomulin,Male,24,21,0,45.0,0,w914Capomulin
216,w914,Capomulin,Male,24,21,5,45.89372032,0,w914Capomulin
217,w914,Capomulin,Male,24,21,10,43.23196275,0,w914Capomulin
218,w914,Capomulin,Male,24,21,15,43.68844893,0,w914Capomulin
219,w914,Capomulin,Male,24,21,20,41.10809233,0,w914Capomulin
220,w914,Capomulin,Male,24,21,25,40.29191661,0,w914Capomulin
221,w914,Capomulin,Male,24,21,30,40.99311013,0,w914Capomulin
222,w914,Capomulin,Male,24,21,35,41.66491577,1,w914Capomulin
223,w914,Capomulin,Male,24,21,40,35.61130861,2,w914Capomulin
224,w914,Capomulin,Male,24,21,45,36.04104736,2,w914Capomulin
225,r811,Ramicane,Male,9,19,0,45.0,0,r811Ramicane
226,r811,Ramicane,Male,9,19,5,45.62580225,0,r811Ramicane
227,r811,Ramicane,Male,9,19,10,39.453903000000004,0,r811Ramicane
228,r811,Ramicane,Male,9,19,15,40.02229235,0,r811Ramicane
229,r811,Ramicane,Male,9,19,20,40.7728027,0,r811Ramicane
230,r811,Ramicane,Male,9,19,25,37.61401068,0,r811Ramicane
231,r811,Ramicane,Male,9,19,30,38.24206639,0,r811Ramicane
232,r811,Ramicane,Male,9,19,35,36.00302016,1,r811Ramicane
233,r811,Ramicane,Male,9,19,40,36.5200329,1,r811Ramicane
234,r811,Ramicane,Male,9,19,45,37.22565033,1,r811Ramicane
235,g288,Capomulin,Male,3,19,0,45.0,0,g288Capomulin
236,g288,Capomulin,Male,3,19,5,45.83939976,0,g288Capomulin
237,g288,Capomulin,Male,3,19,10,46.30400254,1,g288Capomulin
238,g288,Capomulin,Male,3,19,15,42.17230079,1,g288Capomulin
239,g288,Capomulin,Male,3,19,20,42.95712001,1,g288Capomulin
240,g288,Capomulin,Male,3,19,25,42.36869239,1,g288Capomulin
241,g288,Capomulin,Male,3,19,30,42.87446056,1,g288Capomulin
242,g288,Capomulin,Male,3,19,35,38.95411458,1,g288Capomulin
243,g288,Capomulin,Male,3,19,40,36.35685121,1,g288Capomulin
244,g288,Capomulin,Male,3,19,45,37.07402422,1,g288Capomulin
245,i334,Ramicane,Female,8,20,0,45.0,0,i334Ramicane
246,i334,Ramicane,Female,8,20,5,41.02051821,0,i334Ramicane
247,i334,Ramicane,Female,8,20,10,41.63124731,0,i334Ramicane
248,i334,Ramicane,Female,8,20,15,39.15800115,0,i334Ramicane
249,i334,Ramicane,Female,8,20,20,39.687831700000004,0,i334Ramicane
250,i334,Ramicane,Female,8,20,25,38.24881732,1,i334Ramicane
251,i334,Ramicane,Female,8,20,30,39.00555435,1,i334Ramicane
252,i334,Ramicane,Female,8,20,35,39.7695521,2,i334Ramicane
253,i334,Ramicane,Female,8,20,40,40.44237037,2,i334Ramicane
254,i334,Ramicane,Female,8,20,45,36.37451039,2,i334Ramicane
255,q610,Ramicane,Female,18,21,0,45.0,0,q610Ramicane
256,q610,Ramicane,Female,18,21,5,45.62949421,0,q610Ramicane
257,q610,Ramicane,Female,18,21,10,44.99148471,0,q610Ramicane
258,q610,Ramicane,Female,18,21,15,45.88902756,0,q610Ramicane
259,q610,Ramicane,Female,18,21,20,46.58543347,0,q610Ramicane
260,q610,Ramicane,Female,18,21,25,40.14645019,0,q610Ramicane
261,q610,Ramicane,Female,18,21,30,40.66834256,1,q610Ramicane
262,q610,Ramicane,Female,18,21,35,36.56165229,2,q610Ramicane
263,d251,Ramicane,Female,8,19,0,45.0,0,d251Ramicane
264,d251,Ramicane,Female,8,19,5,41.74635495,1,d251Ramicane
265,d251,Ramicane,Female,8,19,10,42.43225791,1,d251Ramicane
266,d251,Ramicane,Female,8,19,15,39.47278744,1,d251Ramicane
267,d251,Ramicane,Female,8,19,20,37.65209085,1,d251Ramicane
268,d251,Ramicane,Female,8,19,25,38.09751328,1,d251Ramicane
269,d251,Ramicane,Female,8,19,30,38.71825638,2,d251Ramicane
270,d251,Ramicane,Female,8,19,35,37.70852942,2,d251Ramicane
271,d251,Ramicane,Female,8,19,40,38.26540379,2,d251Ramicane
272,d251,Ramicane,Female,8,19,45,37.31123552,2,d251Ramicane
273,l897,Capomulin,Male,17,19,0,45.0,0,l897Capomulin
274,l897,Capomulin,Male,17,19,5,45.46224327,0,l897Capomulin
275,l897,Capomulin,Male,17,19,10,46.15473721,0,l897Capomulin
276,l897,Capomulin,Male,17,19,15,44.0615214,0,l897Capomulin
277,l897,Capomulin,Male,17,19,20,44.81309343,0,l897Capomulin
278,l897,Capomulin,Male,17,19,25,45.35467916,0,l897Capomulin
279,l897,Capomulin,Male,17,19,30,39.35279201,1,l897Capomulin
280,l897,Capomulin,Male,17,19,35,37.68276664,1,l897Capomulin
281,l897,Capomulin,Male,17,19,40,38.34390154,1,l897Capomulin
282,l897,Capomulin,Male,17,19,45,38.84687569,1,l897Capomulin
283,c458,Ramicane,Female,23,20,0,45.0,0,c458Ramicane
284,c458,Ramicane,Female,23,20,5,45.72227949,0,c458Ramicane
285,c458,Ramicane,Female,23,20,10,44.45437828,1,c458Ramicane
286,c458,Ramicane,Female,23,20,15,45.10742313,2,c458Ramicane
287,c458,Ramicane,Female,23,20,20,39.50513508,2,c458Ramicane
288,c458,Ramicane,Female,23,20,25,37.75314964,2,c458Ramicane
289,c458,Ramicane,Female,23,20,30,38.34200823,2,c458Ramicane
290,b742,Capomulin,Male,7,21,0,45.0,0,b742Capomulin
291,b742,Capomulin,Male,7,21,5,41.53409702,0,b742Capomulin
292,b742,Capomulin,Male,7,21,10,41.99922813,0,b742Capomulin
293,b742,Capomulin,Male,7,21,15,39.52484301,0,b742Capomulin
294,b742,Capomulin,Male,7,21,20,37.95035546,0,b742Capomulin
295,b742,Capomulin,Male,7,21,25,38.61768433,0,b742Capomulin
296,b742,Capomulin,Male,7,21,30,39.1679495,0,b742Capomulin
297,b742,Capomulin,Male,7,21,35,39.84757556,0,b742Capomulin
298,b742,Capomulin,Male,7,21,40,38.255627399999995,0,b742Capomulin
299,b742,Capomulin,Male,7,21,45,38.93963263,0,b742Capomulin
300,b128,Capomulin,Female,9,22,0,45.0,0,b128Capomulin
301,b128,Capomulin,Female,9,22,5,45.65133131,0,b128Capomulin
302,b128,Capomulin,Female,9,22,10,43.2708519,0,b128Capomulin
303,b128,Capomulin,Female,9,22,15,43.78489343,0,b128Capomulin
304,b128,Capomulin,Female,9,22,20,42.731552,0,b128Capomulin
305,b128,Capomulin,Female,9,22,25,43.26214483,1,b128Capomulin
306,b128,Capomulin,Female,9,22,30,40.60533486,1,b128Capomulin
307,b128,Capomulin,Female,9,22,35,37.96764437,1,b128Capomulin
308,b128,Capomulin,Female,9,22,40,38.3797259,2,b128Capomulin
309,b128,Capomulin,Female,9,22,45,38.98287774,2,b128Capomulin
310,j246,Capomulin,Female,21,21,0,45.0,0,j246Capomulin
311,j246,Capomulin,Female,21,21,5,45.64143788,0,j246Capomulin
312,j246,Capomulin,Female,21,21,10,46.408361299999996,0,j246Capomulin
313,j246,Capomulin,Female,21,21,15,43.31265415,0,j246Capomulin
314,j246,Capomulin,Female,21,21,20,44.02037009,0,j246Capomulin
315,j246,Capomulin,Female,21,21,25,44.55522595,0,j246Capomulin
316,j246,Capomulin,Female,21,21,30,38.04408202,1,j246Capomulin
317,j246,Capomulin,Female,21,21,35,38.75326548,1,j246Capomulin
318,a411,Ramicane,Male,3,22,0,45.0,0,a411Ramicane
319,a411,Ramicane,Male,3,22,5,45.46667714,0,a411Ramicane
320,a411,Ramicane,Male,3,22,10,40.75978762,1,a411Ramicane
321,a411,Ramicane,Male,3,22,15,41.48416885,1,a411Ramicane
322,a411,Ramicane,Male,3,22,20,38.08737318,1,a411Ramicane
323,a411,Ramicane,Male,3,22,25,38.701438399999994,1,a411Ramicane
324,a411,Ramicane,Male,3,22,30,39.13073724,1,a411Ramicane
325,a411,Ramicane,Male,3,22,35,39.71723589,1,a411Ramicane
326,a411,Ramicane,Male,3,22,40,40.25881765,1,a411Ramicane
327,a411,Ramicane,Male,3,22,45,38.407618299999996,1,a411Ramicane
328,j119,Capomulin,Female,7,23,0,45.0,0,j119Capomulin
329,j119,Capomulin,Female,7,23,5,45.83899787,0,j119Capomulin
330,j119,Capomulin,Female,7,23,10,46.42536551,0,j119Capomulin
331,j119,Capomulin,Female,7,23,15,47.32298428,0,j119Capomulin
332,j119,Capomulin,Female,7,23,20,48.15820939,1,j119Capomulin
333,j119,Capomulin,Female,7,23,25,42.41716589,1,j119Capomulin
334,j119,Capomulin,Female,7,23,30,43.01368114,1,j119Capomulin
335,j119,Capomulin,Female,7,23,35,43.76570537,1,j119Capomulin
336,j119,Capomulin,Female,7,23,40,44.5850896,1,j119Capomulin
337,j119,Capomulin,Female,7,23,45,38.125164399999996,1,j119Capomulin
338,w150,Capomulin,Male,23,23,0,45.0,0,w150Capomulin
339,w150,Capomulin,Male,23,23,5,39.20212894,0,w150Capomulin
340,w150,Capomulin,Male,23,23,10,39.95234669,0,w150Capomulin
341,v923,Capomulin,Female,19,21,0,45.0,0,v923Capomulin
342,v923,Capomulin,Female,19,21,5,45.70443431,0,v923Capomulin
343,v923,Capomulin,Female,19,21,10,39.84822328,0,v923Capomulin
344,v923,Capomulin,Female,19,21,15,40.45798877,0,v923Capomulin
345,v923,Capomulin,Female,19,21,20,39.64829568,0,v923Capomulin
346,v923,Capomulin,Female,19,21,25,40.15641269,1,v923Capomulin
347,v923,Capomulin,Female,19,21,30,40.75221626,2,v923Capomulin
348,v923,Capomulin,Female,19,21,35,41.43924156,2,v923Capomulin
349,v923,Capomulin,Female,19,21,40,42.1510148,2,v923Capomulin
350,v923,Capomulin,Female,19,21,45,40.65812366,2,v923Capomulin
351,g316,Capomulin,Female,22,22,0,45.0,0,g316Capomulin
352,g316,Capomulin,Female,22,22,5,44.02275246,0,g316Capomulin
353,g316,Capomulin,Female,22,22,10,44.50204246,0,g316Capomulin
354,g316,Capomulin,Female,22,22,15,45.21674299,0,g316Capomulin
355,g316,Capomulin,Female,22,22,20,45.93332219,1,g316Capomulin
356,g316,Capomulin,Female,22,22,25,46.80922469,1,g316Capomulin
357,g316,Capomulin,Female,22,22,30,44.22147988,2,g316Capomulin
358,g316,Capomulin,Female,22,22,35,44.70283296,2,g316Capomulin
359,g316,Capomulin,Female,22,22,40,45.56582103,2,g316Capomulin
360,g316,Capomulin,Female,22,22,45,40.1592203,2,g316Capomulin
361,s710,Capomulin,Female,1,23,0,45.0,0,s710Capomulin
362,s710,Capomulin,Female,1,23,5,43.180977399999996,0,s710Capomulin
363,s710,Capomulin,Female,1,23,10,43.68802627,0,s710Capomulin
364,s710,Capomulin,Female,1,23,15,41.84523536,0,s710Capomulin
365,s710,Capomulin,Female,1,23,20,42.62996266,1,s710Capomulin
366,s710,Capomulin,Female,1,23,25,43.06040875,1,s710Capomulin
367,s710,Capomulin,Female,1,23,30,43.57170323,1,s710Capomulin
368,s710,Capomulin,Female,1,23,35,44.16051879,1,s710Capomulin
369,s710,Capomulin,Female,1,23,40,40.17192011,1,s710Capomulin
370,s710,Capomulin,Female,1,23,45,40.72857787,1,s710Capomulin
371,l509,Capomulin,Male,17,21,0,45.0,0,l509Capomulin
372,l509,Capomulin,Male,17,21,5,45.85119285,0,l509Capomulin
373,l509,Capomulin,Male,17,21,10,46.75907363,0,l509Capomulin
374,l509,Capomulin,Male,17,21,15,47.48859931,1,l509Capomulin
375,l509,Capomulin,Male,17,21,20,48.07045162,2,l509Capomulin
376,l509,Capomulin,Male,17,21,25,44.00625702,2,l509Capomulin
377,l509,Capomulin,Male,17,21,30,44.70805473,2,l509Capomulin
378,l509,Capomulin,Male,17,21,35,40.207288500000004,2,l509Capomulin
379,l509,Capomulin,Male,17,21,40,40.77081259,2,l509Capomulin
380,l509,Capomulin,Male,17,21,45,41.48300765,3,l509Capomulin
381,r944,Capomulin,Male,12,25,0,45.0,0,r944Capomulin
382,r944,Capomulin,Male,12,25,5,45.73714484,0,r944Capomulin
383,r944,Capomulin,Male,12,25,10,46.54429202,0,r944Capomulin
384,r944,Capomulin,Male,12,25,15,47.37342325,0,r944Capomulin
385,r944,Capomulin,Male,12,25,20,43.22567119,1,r944Capomulin
